Index,Analyte,Abbreviation,CAS #,Dataset ID,Mechanism,Manufacturer,Brand,Stationary Phase,Pore Size (A),Particle Size (um),A Solvent,B Solvent,Composition (%B),Temperature (C),Midpoint Pressure (bar),Retention Factor,SD,n
127,mefenamic acid,MFen,61-68-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,2.103,0.011,5
128,mefenamic acid,MFen,61-68-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,5.013,0.014,5
129,mefenamic acid,MFen,61-68-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,45,40,60,8.510,0.055,5
130,mefenamic acid,MFen,61-68-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,15.697,0.099,5
131,mefenamic acid,MFen,61-68-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,31.904,0.116,5
132,butyrophenone,AP4,495-40-9,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,1.613,0.028,5
133,butyrophenone,AP4,495-40-9,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,3.022,0.008,5
134,butyrophenone,AP4,495-40-9,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,6.632,0.023,5
135,butyrophenone,AP4,495-40-9,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,10.458,0.054,5
136,butyrophenone,AP4,495-40-9,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,17.438,0.040,5
137,butyrophenone,AP4,495-40-9,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,30.721,0.058,5
138,cis-stilbene,cStil,645-49-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,0.636,0.007,5
139,cis-stilbene,cStil,645-49-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,70,40,60,2.632,0.033,5
140,cis-stilbene,cStil,645-49-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,5.605,0.019,5
141,cis-stilbene,cStil,645-49-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,13.916,0.054,5
142,cis-stilbene,cStil,645-49-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,45,40,60,23.780,0.066,5
143,cis-stilbene,cStil,645-49-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,43.786,0.066,5
144,trans-stilbene,tStil,103-30-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,0.650,0.002,5
145,trans-stilbene,tStil,103-30-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,70,40,60,2.766,0.017,5
146,trans-stilbene,tStil,103-30-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,5.995,0.028,5
147,trans-stilbene,tStil,103-30-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,15.230,0.055,5
148,trans-stilbene,tStil,103-30-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,45,40,60,26.442,0.063,5
149,trans-stilbene,tStil,103-30-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,49.341,0.086,5
150,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,0.811,0.005,5
151,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,70,40,60,2.502,0.018,5
152,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,4.641,0.013,5
153,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,9.701,0.043,5
154,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,45,40,60,14.933,0.068,5
155,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,24.424,0.075,5
156,quinizarin,Qnz,81-64-1,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,42.636,0.077,5
157,Butyl phenyl ether,4PhE,1126-79-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,0.611,0.009,5
158,Butyl phenyl ether,4PhE,1126-79-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,4.388,0.037,5
159,Butyl phenyl ether,4PhE,1126-79-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,9.802,0.043,5
160,Butyl phenyl ether,4PhE,1126-79-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,26.390,0.070,5
161,Butyl phenyl ether,4PhE,1126-79-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,46.961,0.080,5
162,4-n-heptylaniline,Ani7,37529-27-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,1.447,0.010,5
163,4-n-heptylaniline,Ani7,37529-27-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,8.336,0.102,5
164,4-n-heptylaniline,Ani7,37529-27-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,14.207,0.047,5
165,4-n-heptylaniline,Ani7,37529-27-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,26.959,0.077,5
166,4-n-heptylaniline,Ani7,37529-27-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,40.341,0.135,5
167,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,0.828,0.040,5
168,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,1.177,0.011,5
169,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,1.877,0.015,5
170,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,3.296,0.009,5
171,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,6.277,0.027,5
172,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,13.060,0.060,5
173,"1,3-dihydroxynaphthalene",3dhN,132-86-5,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,10,40,60,27.731,0.356,5
174,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,1.021,0.010,5
175,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,1.500,0.013,5
176,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,2.368,0.018,5
177,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,3.980,0.014,5
178,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,7.389,0.059,5
179,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,14.691,0.059,5
180,"2,3-dihydroxynaphthalene",dhNa,92-44-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,10,40,60,30.180,0.064,5
181,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,0.958,0.009,5
182,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,4.742,0.056,5
183,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,7.531,0.013,5
184,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,12.782,0.043,5
185,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,18.123,0.047,5
186,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,27.252,0.116,5
187,4-n-hexylaniline,Ani6,33228-45-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,46.192,0.195,5
188,4-n-pentylaniline,Ani5,33228-44-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,90,40,60,0.723,0.006,5
189,4-n-pentylaniline,Ani5,33228-44-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,2.969,0.045,5
190,4-n-pentylaniline,Ani5,33228-44-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,4.344,0.011,5
191,4-n-pentylaniline,Ani5,33228-44-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,6.671,0.017,5
